GENE       CHR      START       STOP  NSNPS  NPARAM         N        ZSTAT            P
9815        12  110367607  110434194      1       1       777       4.4652        4e-06
23389       12  116396381  116714991      1       1   1783869       5.2189        9e-08
26259       12  117348756  117468953      1       1       777       4.3439        7e-06
283455      12  117890817  118406399      1       1     15100       4.6114        2e-06
84660       12  123259056  123311927      1       1   2571464       5.3671        4e-08
144423      12  129337985  129469513      1       1       157       5.2652        7e-08
23504       12  130880681  131200828      1       1       777       4.6114        2e-06
57634       12  132434465  132565011      1       1       777       4.4172        5e-06
6445        13   23755060   23899304      1       1       777       4.5264        3e-06
10129       13   32605269   32870794      1       1       939       4.4172        5e-06
57511       13   40229764   40365802      1       1       777       4.4652        4e-06
2963        13   45694631   45858240      1       1       777       4.6114        2e-06
115825      13   52158484   52340935      1       1     15100       4.8916        5e-07
1602        13   72012098   72441330      1       1     33265       5.4909        2e-08
1910        13   78469616   78549664      1       1     15100       4.5264        3e-06
10673       13  108921875  108960832      1       1     15100       4.7534        1e-06
55739       13  111267807  111292343      1       1       777       4.5264        3e-06
196883      14   24787555   24804277      1       1       939       4.7534        1e-06
64067       14   33404115   34273382      1       1       777       4.5264        3e-06
145282      14   37667118   38020464      1       1       777       4.5264        3e-06
8814        14   50796122   50883179      1       1       777       4.3776        6e-06
114088      14   51441979   51562422      1       1       939       4.5264        3e-06
11169       14   55405656   55493819      2       1     19629       5.2751   6.6335e-08
93487       14   55518362   55536912      1       1     13187       5.3671        4e-08
55030       14   55738021   55820329      1       1     12596       4.9912        3e-07
54916       14   57046509   57116233      2       1     11455       5.2362   8.1951e-08
10640       14   57669194   57735726      1       1       428       4.7983        8e-07
145407      14   58470808   58618847      1       1     73627       1.2816          0.1
9786        14   58894103   59015549      1       1       777       4.3439        7e-06
51339       14   59100786   59115039      1       1     19629       5.7685        4e-09
5663        14   73603143   73690399      1       1       498       4.4652        4e-06
57143       14   78266426   78400297      1       1     15100       4.8556        6e-07
9369        14   78636716   80334633      1       1       777       4.3776        6e-06
9252        14   91335086   91526993      5       2     74244       5.3183    5.237e-08
80017       14   91526677   91691976      1       1     53004        5.612        1e-08
57062       14   94517268   94547558      1       1     15100       4.3145        8e-06
23405       14   95552565   95623759      1       1       777       4.3776        6e-06
10858       14  100150755  100193638      1       1     37741       5.6505        8e-09
5527        14  102226910  102394329      1       1       777       4.5264        3e-06
2567        15   27216429   27778373      1       1     15100       4.3439        7e-06
6263        15   33603177   34158304      1       1       777       4.7534        1e-06
80031       15   47476403   48066420      1       1    450989       1.2816          0.1
79895       15   50150435   50411419      1       1       777       4.7747        9e-07
29767       15   52043758   52108560      1       1       777       4.3776        6e-06
440279      15   54270557   54920806      2       1       777       6.2476   2.0835e-10
9236        15   55647421   55700708      2       1    604756      0.69815      0.24254
64864       15   56379479   56535728      1       1       777       4.5264        3e-06
6938        15   57210833   57580716      1       1     15100       4.3776        6e-06
100820829   15   57884102   57977562      4       1     27973       3.0552    0.0011247
145781      15   57884102   58009755      4       1     27973       3.0552    0.0011247
6095        15   60780483   61521502      1       1     53004        5.612        1e-08
83660       15   62682769   63136830      1       1       777       4.2884        9e-06
115752      15   66585633   66626236      1       1     15100       4.4652        4e-06
3658        15   78730518   78793798      2       1     15100       5.0688    2.002e-07
9915        15   80696692   80890278      1       1     60140       4.3776        6e-06
54993       15   85144249   85166947      1       1       777       4.4652        4e-06
123624      15   86623137   87572283      1       1       777       4.9912        3e-07
4205        15  100106133  100256688      1       1       777       4.4172        5e-06
115         16    4012650    4166186      1       1     15100       4.4172        5e-06
5493        16    4932508    4987136      1       1       428       4.7534        1e-06
54715       16    5289469    7763342      3       2     26868       6.1094        5e-10
92017       16   12070602   12668146      1       1     15100       4.4652        4e-06
4363        16   16043434   16236931      1       1     15100       4.4652        4e-06
57020       16   19566737   19712485      1       1       428       4.7983        8e-07
9951        16   25703347   26149009      1       1       777       4.2884        9e-06
7284        16   28853732   28857729      1       1    354454       5.6734        7e-09
253982      16   29912147   29931181      1       1     26502        5.612        1e-08
253980      16   29917657   29937545      1       1     26502        5.612        1e-08
23450       16   70557691   70611571      1       1       190       5.1993        1e-07
146433      16   70613798   70694585      2       1    741797        4.024   2.8613e-05
164         16   71762903   71843006      1       1       777       4.3439        7e-06
101927998   16   73489940   73925581      1       1     37741       5.6734        7e-09
51741       16   78133310   79246567      1       1       428       5.4909        2e-08
1012        16   82660399   83830215      3       2      5551       6.1424   4.0631e-10
9764        16   85061374   85127836      1       1       777       4.3776        6e-06
57338       16   87635441   87731762      1       1     64137       4.7983        8e-07
55275       17     411908     618096      1       1       777       4.9354        4e-07
84690       17    3343305    3417146      1       1       777       4.6114        2e-06
443         17    3377404    3402700      1       1       777       4.6114        2e-06
26168       17    7465309    7475287      1       1   4113061       4.3145        8e-06
146754      17    7620631    7737058      1       1   6159570        5.612        1e-08
9423        17    8924859    9147317      1       1    105075      0.25335          0.4
9482        17    9153788    9479275      1       1     54608        5.612        1e-08
8735        17   10201401   10276322      1       1     15100       4.3776        6e-06
100533496   17   15339332   15466945      1       1       777       4.3776        6e-06
201158      17   15405578   15466945      1       1       777       4.3776        6e-06
92521       17   19912649   20218072      3       1    456421       4.3636   6.3981e-06
57649       17   27232264   27278622      1       1       777       4.3439        7e-06
55803       17   29248698   29286340      1       1  14813776       5.6997        6e-09
4763        17   29421945   29704695      3       1    452352        3.754   8.7002e-05
4974        17   29621668   29624380      1       1   1310925       5.9978        1e-09
2124        17   29629888   29641130      1       1     19629       0.5244          0.3
40          17   31340105   32483825      1       1       190        4.825        7e-07
117584      17   33336131   33416348      1       1       777       4.6114        2e-06
5892        17   33426811   33446888      1       1     15100       4.7534        1e-06
146861      17   33519539   33521412      1       1     15100       4.3776        6e-06
4302        17   36861873   36886056      1       1     19629       5.8842        2e-09
284106      17   36886510   36891858      2       1     19629       4.8112   7.5018e-07
7703        17   36890150   36906070      5       2     29046       3.4536   0.00027656
124989      17   45401327   45518678      2       1     43335     -0.63849      0.73842
9755        17   45771441   45789429      1       1   1296350       5.4188        3e-08
30009       17   45810610   45823485      1       1     13171        5.612        1e-08
6668        17   45973516   46006323      2       1    655636       4.8936   4.9498e-07
51226       17   46103533   46120908      1       1      8175     -0.84162          0.8
4779        17   46125686   46138907      1       1     26502       1.7507         0.04
8631        17   46210802   46507596      4       2    103375      0.43789      0.33073
3213        17   46626232   46667634      1       1     21281       1.2816          0.1
3216        17   46673099   46682343      1       1    484454      -1.2816          0.9
101060400   17   46712166   46724875      1       1     22824      0.84162          0.2
56934       17   49707674   50237377      1       1     26502        5.612        1e-08
83990       17   59756547   59940920      1       1     26502       5.4909        2e-08
26115       17   61043913   61505067      1       1       428       4.8916        5e-07
201134      17   63631658   64188212      1       1     26502        5.612        1e-08
27092       17   64960980   65029518      1       1     79620      0.84162          0.2
23460       17   67074847   67138015      1       1    373416       4.7534        1e-06
6730        17   74034856   74068607      1       1       777       4.4172        5e-06
114897      17   77019016   77045870      1       1     15100       4.7534        1e-06
23136       18    5392380    5630662      2       1     15100       4.2933   8.8031e-06
5797        18    7567314    8406859      4       2      7976       7.0269   1.0559e-12
55364       18   22006609   22033499      1       1     15100       4.3439        7e-06
59340       18   22040593   22059921      3       1       777       4.5901   2.2156e-06
6014        18   40323183   40695676      2       1     56621      -2.0388      0.97927
494470      18   43906772   44041159      1       1       777       4.3776        6e-06
4087        18   45359466   45457564      1       1       777       4.8916        5e-07
4092        18   46446223   46477081      1       1       777       4.6114        2e-06
6925        18   52889562   53303252      6       2    428152       4.0344   2.7374e-05
374868      18   76829394   77138283      2       1     20801       4.1196   1.8977e-05
4784        19   13106584   13209610      1       1   3868667       5.7307        5e-09
5143        19   18318771   18359010      1       1    955526       5.4909        2e-08
23383       19   19431496   19469563      1       1     26502       5.7307        5e-09
9141        19   33072071   33078358      2       1     23066       2.1352     0.016373
84902       19   33369904   33462930      1       1       777       4.3145        8e-06
5184        19   33877855   34012799      1       1       777       4.4652        4e-06
84306       19   34895300   34917073      1       1       190       4.8556        6e-07
126374      19   34972880   34992085      1       1       777       4.3145        8e-06
23094       19   38397525   38699009      2       1    382554      0.76731      0.22145
4680        19   42259398   42276113      1       1   1415132       4.6114        2e-06
26974       19   44889808   44905777      1       1   8046573       5.8842        2e-09
100287477   19   50561973   50647102      1       1       777       4.6114        2e-06
5786        20    2844841    3019316      2       1     19629       4.6291   1.8359e-06
994         20    3767419    3786765      1       1       926       4.3776        6e-06
23236       20    8112912    8865547      2       1      7939       5.5476   1.4482e-08
140733      20   13976146   16033842      4       2     23772       5.3017   5.7352e-08
5834        20   25228706   25278648      1       1    434614       5.7685        4e-09
26090       20   25275379   25371618      1       1    434614       5.7685        4e-09
9837        20   25388323   25429191      1       1   5333920       5.4909        2e-08
1789        20   31350191   31397162      1       1   2384639       5.6997        6e-09
388795      20   31451595   31481113      3       1     19629       4.9776   3.2197e-07
149954      20   31669318   31699557      1       1    607371       2.0537         0.02
11122       20   40701392   41818557      1       1     15100       4.3439        7e-06
57580       20   47240787   47444420      1       1       777       4.5264        3e-06
3745        20   47988505   48099181      1       1       157       5.2935        6e-08
10079       20   50213314   50384908      1       1       777       4.2884        9e-06
8537        20   52560079   52687304      1       1       777       4.7534        1e-06
57403       20   56884771   56942563      1       1       777       4.3145        8e-06
2778        20   57414756   57486250      1       1       777       4.3776        6e-06
1002        20   59827482   60515673      2       1      1243       4.4624   4.0528e-06
28231       20   61273795   61317137      1       1       705       5.3671        4e-08
80331       20   62526455   62567384      5       2     32391       4.4927   3.5171e-06
57473       20   62588057   62601223      1       1     21282       1.2816          0.1
3455        21   34602231   34636831      1       1      1076        5.069        2e-07
25825       21   42539728   42654461      1       1       777       4.4172        5e-06
3535        22   22380474   23265085      1       1     26502       5.4188        3e-08
23523       22   24407642   24574596      1       1       777       4.2884        9e-06
8459        22   26921714   26986089      1       1     15100       4.4172        5e-06
150280      22   30476453   30573064      1       1   1796173        5.612        1e-08
10739       22   32586422   32603223      1       1     15100       4.5264        3e-06
23543       22   36134783   36424679      1       1       777       4.3439        7e-06
79159       22   38077680   38089718      1       1     20860      0.84162          0.2
150365      22   42095518   42195459      2       1   1387698       4.5852   2.2674e-06
6721        22   42229083   42303312      1       1       777       4.4652        4e-06
26150       22   45809572   45828302      1       1     26502       5.4188        3e-08
23774       22   50166931   50221196      2       1     19874       5.3153   5.3245e-08
